7.7     399.8     13.3     134.8     2.7
11.5    292.5     12.6     150.6     3.2
19.6    195.6     9.7      157.5     3.1
27.0    151.9     9.3      159.8     3.0
39.0    104.7     11.2     159.9     3.5
62.4    69.2      11.4     164.3     3.6
200.    27.0      11.4     167.8     4.2 
