 2.70035863304113e+000    6.33898305084746e+001
 3.32045047823607e+000    7.35593220338983e+001
 3.81107399959000e+000    8.57627118644068e+001
 4.32424432803037e+000    9.38983050847458e+001
 4.85048913553644e+000    1.26101694915254e+002
 6.31682365690899e+000    1.30169491525424e+002
 7.67868377999003e+000    1.37966101694915e+002
 8.81327166202444e+000    1.47796610169492e+002
 1.73540760479977e+001    1.53898305084746e+002
 6.28065571611914e+001    1.63050847457627e+002
 1.30980602116180e+002    1.61016949152542e+002
 1.98042365342515e+002    1.62033898305085e+002
 2.74727885256332e+003    1.56271186440678e+002
